osm_type,osm_id,lat,lon,name,amenity,shop,office,building,landuse,tourism,historic
node,892447817,54.6777199,25.2862044,ŠMC kavinė,cafe,,,,,,
node,892447908,54.6792123,25.2890771,Balzac,restaurant,,,,,,
node,901379973,54.662885,25.2983125,,,car_repair,,,,,
node,904065861,54.6947632,25.2783805,Bronx,bar,,,,,,
node,904067271,54.6801013,25.280884,Caffeine,cafe,,,,,,
node,908207161,54.6939032,25.2764931,Maxima X,,supermarket,,,,,
node,908251204,54.6934064,25.2815929,Zhangas,restaurant,,,,,,
node,908259621,54.7159196,25.2293436,Armijai ir civiliams,,outdoor,,,,,
node,908572062,54.6875292,25.2790536,Vilniaus centrinis knygynas,,books,,,,,
node,908771589,54.6756783,25.2668678,Verslo Kolonos,fast_food,,,,,,
node,908796990,54.6779399,25.2732056,Can Can Pizza,restaurant,,,,,,
node,908796994,54.678082,25.2704535,Ke baras,fast_food,,,,,,
node,908797048,54.6748634,25.2703816,Žemaičių Ąsotis,restaurant,,,,,,
node,908809410,54.668259,25.2607376,Vilniaus degtinės valgykla,cafe,,,,,,
node,919557674,54.6548867,25.297422,Žijūrė,,,,,,hotel,
node,919585755,54.7031002,25.2210082,Autoera,,car,,,,,
node,919585840,54.703125,25.2209228,Tekstara,,car,,,,,
node,919585904,54.7032425,25.2203066,Limpopo,,toys,,,,,
node,924505163,54.6742285,25.2543733,Geras maistas,restaurant,,,,,,
node,924505190,54.6748611,25.2528662,Cheat day,restaurant,,,,,,
node,925959855,54.6978202,25.2220772,Kebabai visą parą,fast_food,,,,,,
node,930414122,54.7368678,25.2679029,Norfa XL,,supermarket,,,,,
node,932258982,54.7192871,25.3028152,Dalia,restaurant,,,,,,
node,932259465,54.7176885,25.3033347,Laimos smuklė,restaurant,,,,,,
node,932259487,54.7183877,25.2962555,Raitas Nissan,,car,,,,,
node,932259794,54.71821,25.3027944,Žirmūnų boulingas,cafe,,,,,,
node,933584964,54.7136392,25.2992577,Egzotika,,tyres,,,,,
node,933584997,54.7122994,25.2986273,Miesto kepėjas,,bakery,,,,,
node,933585003,54.7126025,25.2987554,Etno Dvaras,restaurant,,,,,,
node,933696969,54.7142589,25.3007647,Rimtoma Volkswagen,,car_repair,,,,,
node,933696984,54.7136655,25.3003731,Lautra Motors Renault Dacia,,car,,,,,
node,933697005,54.712303,25.3012491,TOPO centras,,electronics,,,,,
node,941301687,54.6817041,25.2658916,Vathaitau,restaurant,,,,,,
node,941660571,54.7310791,25.2364955,Volvo,,car,,,,,
node,947863616,54.6787106,25.2805548,piano.lt,,musical_instrument,,,,,
node,948810622,54.6828102,25.2922394,Bažnytinio paveldo muziejus,,,,,,museum,
node,963655671,54.6806299,25.2885375,"Pegasas, prancūziškos knygos",,books,,,,,
node,963655679,54.6829377,25.2775554,Shimai,bar,,,,,,
node,963655681,54.680348,25.2807378,Vilniaus lopšelis-darželis „Gudrutis“,kindergarten,,,,,,
