lat_round,lon_round,jam_weight,event_count,total_duration,avg_duration,location_name,lat,lon,jam_score
54.65796,25.15715,585.0,6,585.0,97.5,Gariūnų g. link Gariūnų–Paneriškių g. sankryžos (į centrą),54.65796358953632,25.157145456272385,0.004628988546220648
54.65797,25.15718,3517.5,15,1770.0,118.0,Gariūnų g. link Gariūnų–Paneriškių g. sankryžos (į centrą),54.65796678931758,25.157179982991106,0.02783327728432672
54.65801,25.15657,375.0,3,375.0,125.0,Gariūnų g. ties Paneriškių g.,54.65800583280097,25.1565681605244,0.0029673003501414414
54.6581,25.15753,1987.5,9,795.0,88.33333333333333,Gariūnų g. link Gariūnų–Paneriškių g. sankryžos (į centrą),54.658099188110185,25.15753471977439,0.01572669185574964
54.65822,25.15801,637.0,13,910.0,70.0,Gariūnų g. link Oslo g. ,54.6582222624696,25.158007033725617,0.005040454194773595
54.6589,25.15991,140.0,1,140.0,140.0,Gariūnų g. ties Paneriškių g.,54.65890025836984,25.159914642000736,0.0011077921307194715
54.65924,25.16056,609.5,6,455.0,75.83333333333333,Gariūnų g. link Gariūnų–Paneriškių g. sankryžos (į centrą),54.65924498473959,25.16055991289716,0.004822852169096556
54.65927,25.27288,2187.5,12,875.0,72.91666666666667,Dariaus ir Girėno g. link Dariaus ir Girėno–Šaltkalvių–Kapsų g. sankryžos (į centrą),54.659271705563974,25.27288275389657,0.01730925204249174
54.65951,25.27299,367.5,8,525.0,65.625,Dariaus ir Girėno g. link Dariaus ir Girėno–Šaltkalvių–Kapsų g. sankryžos (į centrą),54.65950738071815,25.27298526179332,0.0029079543431386125
54.65966,25.16143,780.5,5,605.0,121.0,Gariūnų g. link Gariūnų–Paneriškių g. sankryžos,54.65965508470541,25.16142832370321,0.006175941128761053
54.65979,25.16189,5139.5,59,4937.0,83.67796610169492,Oslo g. link Gariūnų g.,54.659794341706665,25.161889768263833,0.040667840398805166
54.66015,25.16376,870.0,13,870.0,66.92307692307692,Gariūnų g. link Oslo g. (į centrą),54.660151178443904,25.163757738972606,0.006884136812328144
