cluster,lat,lon,poi_count,cluster_area_km2,education,leisure,other,religion,retail,transport,work,seniunija,seniunija_nr,total_ev_score,ev_density,population,young_share,working_share,senior_share,district_area_km2,district_pop_density,jam_score_norm,poi_total,poi_density,dist_to_existing_m,lag_neighborhood_traffic,lag_neighborhood_retail,lag_neighborhood_leisure,predicted_ev_density,demand_score,svm_label,svm_probability,svm_prediction
120,54.67119552857143,25.22106468571429,7,0.0058729461238113,0,0,0,0,6,0,1,Lazdynai,11.0,103.67107870656685,17652.312233249053,23932.0,0.2434296365330848,0.5691829760795278,0.1873873873873874,9.95551425327569,2403.8939015255382,0.1743439950603415,7,1191.9060472254575,149.18529171899388,0.1743439950603414,389.6982897020196,43.391326464863475,18883.94549114314,0.536092857927864,1,0.38040226392804716,1
187,54.72179774,25.2883736,5,0.0055243513979566,0,0,0,0,2,3,0,Žirmūnai,2.0,125.6994055144839,22753.6947705714,43453.0,0.2329431132248033,0.57021675507591,0.1968401316992866,5.681409273017094,7648.278430911989,0.7461602624238627,5,905.083626984599,287.36279127949206,0.7461602624238627,149.9449199395539,4.592764966822446,18727.119218448515,0.5316407456949376,-1,0.2766652945632349,0
171,54.67697924,25.30865934,5,0.005,0,1,0,0,1,3,0,Senamiestis,16.0,101.92822624747512,20385.645249495024,10158.0,0.2599523155841341,0.6226789971822845,0.1173686872335813,4.406772086999922,2305.0885771847225,0.8726525869713228,5,1000.0,787.4486920243345,0.8997057606822666,273.8195597494537,109.60953204850033,18723.91550608347,0.5315497960934064,0,0.18371976080476043,0
158,54.70178126666667,25.213991683333333,6,0.005973976597189,0,0,0,0,0,6,0,Viršuliškės,9.0,93.3761392534878,15630.482934503809,4014.037054284857,0.2267200686597053,0.542411672149907,0.2308682591903876,2.5272827250660392,1588.2817598810468,0.6271437258142741,6,1004.3561273445972,50.177682878527406,0.6317831689542448,83.20149636798108,47.59647981476503,17786.917778850697,0.5049495398228232,1,0.4022484987099155,1
109,54.67450564285714,25.20145132857143,7,0.0066996323454808,0,2,0,0,2,3,0,Lazdynai,11.0,93.09492146532538,13895.52689829645,23932.0,0.2434296365330848,0.5691829760795278,0.1873873873873874,9.95551425327569,2403.8939015255382,0.1743439950603415,7,1044.833453394172,29.980468451547623,0.1743439950603415,175.34783078178975,111.76316300899428,16258.518738640636,0.4615601003698916,1,0.38741128487799326,1
167,54.64708068,25.27671474,5,0.005,0,0,1,0,0,4,0,Naujininkai,19.0,76.10220162675746,15220.440325351492,30129.0,0.2088405756911899,0.6341199633953578,0.1570394609134522,44.252349054898126,680.8452125925083,0.0,5,1000.0,35.20458406643002,0.0,35.9926674420494,36.878376131777586,15762.374352524168,0.4474751485772277,1,0.1473036795229555,0
22,54.77991156,25.35990416,5,0.005,1,1,0,0,0,3,0,Verkiai,1.0,77.4975818088944,15499.516361778878,50754.0,0.277248058779327,0.5928195708441178,0.129932370376555,55.92561494759497,907.5269006439888,0.0,5,1000.0,1542.0775325446089,0.0,0.0,200.0,15498.6686359597,0.4399888554553128,0,0.24948340829934296,0
134,54.65910718,25.27861076,5,0.005,0,2,0,0,0,3,0,Naujininkai,19.0,76.10220162675746,15220.440325351492,30129.0,0.2088405756911899,0.6341199633953578,0.1570394609134522,44.252349054898126,680.8452125925083,0.0,5,1000.0,467.2421747905107,0.0,74.26669325662115,133.5959569085277,15439.181534064715,0.4383000870525611,0,0.16431205432364177,0
112,54.64241938,25.27360402,5,0.0051005346178518,0,1,0,0,0,4,0,Naujininkai,19.0,74.68478971199143,14642.541479984411,30129.0,0.2088405756911899,0.6341199633953578,0.1570394609134522,44.252349054898126,680.8452125925083,0.0,5,980.2893960370486,96.0559770060984,0.0,15.810079810280635,73.1767156143893,15345.057440447465,0.4356280154576284,1,0.15609828631839318,0
44,54.67770264000001,25.384596,5,0.005,0,0,1,0,2,1,0,Naujoji Vilnia,14.0,77.72387093352778,15544.774186705556,36502.0,0.2709707064905227,0.5830672027570362,0.1459620907524411,38.65558284421724,944.2879220604116,0.0,4,1000.0,2312.1545325343072,0.0,400.0,0.0,15147.317972105067,0.4300144260327632,0,0.22845443021117456,0
162,54.72827388,25.322309,5,0.005,0,0,0,0,0,2,3,Antakalnis,13.0,75.03302353795712,15006.604707591425,39128.0,0.2847511312217194,0.549185520361991,0.1660633484162895,77.15186977248901,507.1555636355083,0.0,5,1000.0,458.37424880767026,0.0,28.77745181632831,30.50579825059792,14904.836263636358,0.4231306573759859,0,0.3407617612395844,1
55,54.75670230000001,25.36784948,5,0.005,1,0,0,0,1,3,0,Antakalnis,13.0,75.03302353795712,15006.604707591425,39128.0,0.2847511312217194,0.549185520361991,0.1660633484162895,77.15186977248901,507.1555636355083,0.0,5,1000.0,3007.311934065978,0.0,200.0,0.0,14767.785690105102,0.4192399538320955,0,0.34987215781593795,1
63,54.714959799999995,25.13818078,5,0.005,0,1,0,0,3,1,0,Pilaitė,12.0,81.90590935183268,16381.181870366536,21798.0,0.3030134418836208,0.593024277388936,0.1039622807274431,13.93352424654988,1564.4283251164877,0.0201049035317864,5,1000.0,2007.639682274678,0.0201049035317864,600.0,200.0,14766.26078568006,0.4191966636006303,0,0.23543257756333782,0
32,54.71239426,25.41446018,5,0.0050786781832695,0,2,0,0,2,1,0,Naujoji Vilnia,14.0,76.60983351997342,15084.600905083204,36502.0,0.2709707064905227,0.5830672027570362,0.1459620907524411,38.65558284421724,944.2879220604116,0.0,5,984.5081376629284,2218.064458388116,0.0,393.80325506517136,393.80325506517136,13819.522074074186,0.3923198723149437,0,0.26169525473528554,0
185,54.720263339999995,25.31637574,5,0.0054462641210408,0,0,0,0,1,3,0,Antakalnis,13.0,69.1406615411715,12695.062157205566,39128.0,0.2847511312217194,0.549185520361991,0.1660633484162895,77.15186977248901,507.1555636355083,0.0,4,918.0605069598575,461.69765443862366,0.0,103.79848078652464,14.989184728902522,13171.569846264269,0.3739252756047242,0,0.30154812330343583,0
196,54.69026964285714,25.30660242857143,7,0.0076309913993258,1,0,0,0,0,4,0,Antakalnis,13.0,69.0868357205953,9053.454800997304,39128.0,0.2847511312217194,0.549185520361991,0.1660633484162895,77.15186977248901,507.1555636355083,0.0,5,917.3120022934964,929.0420611313236,0.5903104930631364,112.69741056207413,31.883029288319975,12374.10343694165,0.3512861482742759,0,0.33284966491918067,1
