cluster,lat,lon,poi_count,cluster_area_km2,education,leisure,other,religion,retail,transport,work,seniunija,seniunija_nr,total_ev_score,ev_density,population,young_share,working_share,senior_share,district_area_km2,district_pop_density,jam_score_norm,poi_total,poi_density,dist_to_existing_m,lag_neighborhood_traffic,lag_neighborhood_retail,lag_neighborhood_leisure
124,54.646352161538466,25.26572843846154,13,0.0501626664361062,0,0,0,0,4,7,2,Naujininkai,19.0,22.827331369293233,455.0661476173548,30129.0,0.2088405756911899,0.6341199633953578,0.1570394609134522,44.252349054898126,680.8452125925083,0.0,13,259.1568774869358,34.81846643147262,0.0,23.92217330648638,35.68348844090532
139,54.67844362307692,25.251392669230768,13,0.0288653537906902,2,2,0,0,2,6,1,Naujamiestis,17.0,72.14708125646143,2499.4351976288845,20857.0,0.255724122487824,0.6081565246599115,0.1361193528522644,4.89842788506261,4257.896714903543,0.7470964667250806,13,450.366903321754,264.0215609062399,0.7470964667250806,355.3798888126046,171.0570154060908
36,54.69347464166666,25.399387216666668,12,0.2790396273665832,0,2,0,1,2,4,3,Naujoji Vilnia,14.0,8.905248140904353,31.91391926998686,36502.0,0.2709707064905227,0.5830672027570362,0.1459620907524411,38.65558284421724,944.2879220604117,0.0,12,43.004644584889796,665.037460897431,0.0,7.167440764148299,7.167440764148299
149,54.71371009166666,25.23779340833333,12,0.0418984758508605,1,0,0,0,3,7,1,Šeškinė,5.0,76.5425470316835,1826.857552149155,31102.0,0.2077624052148463,0.5527471065584675,0.2394904882266861,4.46216580764561,6970.157842792147,0.7189901509724219,12,286.40659967475995,391.4884118603802,0.6985482048099964,92.53680169981783,20.385163005345614
15,54.700892841666665,25.410341433333333,12,0.0164123599875242,1,1,1,0,6,3,0,Naujoji Vilnia,14.0,58.39101339713762,3557.746322986052,36502.0,0.2709707064905227,0.5830672027570362,0.1459620907524411,38.65558284421724,944.2879220604117,0.0,12,731.1562754607967,918.6258740661485,0.0,365.57813773039834,60.929689621733054
13,54.66230289999999,25.341964175,12,0.0287087246384665,0,2,0,0,3,7,0,Naujoji Vilnia,14.0,35.870971556277084,1249.4798012801295,36502.0,0.2709707064905227,0.5830672027570362,0.1459620907524411,38.65558284421724,944.2879220604117,0.0,12,417.9913998659952,53.58499156969861,0.0,104.4978499664988,69.6652333109992
53,54.73248147499999,25.185581,12,0.0579998362647368,0,0,3,0,2,6,0,Pašilaičiai,7.0,53.66265314912136,925.2207696618551,40384.0,0.3069339905415307,0.557894269410955,0.1351717400475143,8.082061121193773,4996.7451859650155,0.4425137670544916,11,206.89713579925836,2296.9206374323576,0.4425137670544916,34.48285596654306,0.0
148,54.69148757272728,25.245944145454544,11,0.017836535577798,0,1,0,1,0,7,2,Žvėrynas,6.0,88.54784641748338,4964.408364576312,12089.0,0.3000692520775623,0.5484764542936288,0.1514542936288088,2.6207114544034837,4612.869524299329,0.8713488905968868,11,616.7116900039845,67.12780435008335,0.8713488905968867,27.496417649574493,90.15585132508568
39,54.778585027272726,25.342001827272725,11,0.0278670943607107,1,1,0,0,5,2,0,Verkiai,1.0,33.971985117058985,1219.0716648577277,50754.0,0.277248058779327,0.5928195708441178,0.129932370376555,55.92561494759497,907.5269006439888,0.0,9,394.7307838275632,406.6192110445784,0.0,179.42308355798326,35.88461671159665
92,54.665212881818185,25.274667072727276,11,0.0254487845330773,0,1,0,0,6,4,0,Naujininkai,19.0,35.273984358588315,1386.0773709149298,30129.0,0.2088405756911899,0.6341199633953578,0.1570394609134522,44.252349054898126,680.8452125925083,0.0,11,432.240682681825,404.8329616138045,0.10093807083169573,118.81662110340747,76.55762878582452
138,54.682079481818185,25.25456567272727,11,0.005,0,0,0,0,4,0,5,Naujamiestis,17.0,197.9651841599614,39593.03683199228,20857.0,0.255724122487824,0.6081565246599115,0.1361193528522644,4.89842788506261,4257.896714903543,0.7470964667250806,9,2200.0,266.9164372469818,0.7470964667250806,345.53274904000614,192.79536578225333
184,54.63030948181818,25.26119456363637,11,0.0353033682510135,0,0,0,0,1,10,0,Naujininkai,19.0,26.59749720486849,753.3982881110761,30129.0,0.2088405756911899,0.6341199633953578,0.1570394609134522,44.252349054898126,680.8452125925083,0.0,11,311.5850000993661,1655.8441568059022,0.0,189.5055588941416,2.1228780490071704
132,54.694208136363635,25.29841521818182,11,0.0264958444412875,0,2,1,0,1,5,2,Žirmūnai,2.0,90.46840102115839,3414.4373553229652,43453.0,0.2329431132248033,0.57021675507591,0.1968401316992866,5.681409273017094,7648.278430911989,0.7461602624238627,11,415.15944224291655,399.65090388831993,0.7135985119582889,142.5607807701772,49.711085000578585
136,54.72200341818182,25.332244445454545,11,0.0178296698564103,4,2,0,0,1,4,0,Antakalnis,13.0,47.48740327402392,2663.3921803633834,39128.0,0.2847511312217194,0.549185520361991,0.1660633484162895,77.15186977248901,507.1555636355083,0.0,11,616.9491689183,283.22055963561564,0.0,16.825886425044544,162.6181122264043
155,54.722620600000006,25.33724398,10,0.027669121733393,1,2,0,0,0,7,0,Antakalnis,13.0,29.11155839244592,1052.1316387614895,39128.0,0.2847511312217194,0.549185520361991,0.1660633484162895,77.15186977248901,507.1555636355083,0.0,10,361.41371223689083,67.67317226200356,0.0,16.32102057465562,215.53264154422894
140,54.685326970000006,25.20518948,10,0.0189708214863918,0,2,0,0,5,3,0,Karoliniškės,10.0,92.75957004935145,4889.591635021709,24448.0,0.2181765219924264,0.5360159793599933,0.2458074986475802,3.7638223321865,6495.524454204919,0.8197958688104301,10,527.1253017257701,29.061028867116963,0.6550433820711303,198.466109831571,120.25932240805379
1,54.70946903,25.10137968,10,0.0217747876725767,0,1,0,0,5,1,3,Grigiškės,21.0,42.23402353220212,1939.5837133875666,10486.0,0.235561323815704,0.5648465745805136,0.1995921016037823,7.009228254469938,1496.027753599385,0.0,10,459.24672838918474,4334.265874014615,0.0,229.62336419459237,45.924672838918475
16,54.762446020000006,25.1856848,10,0.0750258424922801,2,0,0,0,4,3,1,Pašilaičiai,7.0,48.36929395472976,644.7017767205585,40384.0,0.3069339905415307,0.557894269410955,0.1351717400475143,8.082061121193773,4996.7451859650155,0.4425137670544916,10,133.28740694953163,3324.511585473159,0.4425137670544916,53.31496277981265,0.0
79,54.68985262,25.21097273,10,0.0180726350618603,1,2,0,0,4,2,1,Karoliniškės,10.0,94.64345777921784,5236.837763572687,24448.0,0.2181765219924264,0.5360159793599933,0.2458074986475802,3.7638223321865,6495.524454204919,0.8197958688104301,10,553.3227426864587,391.0245560050589,0.8197958688104301,149.68002998542943,76.805997500444
26,54.65255866,25.18718615,10,0.0118542310783576,0,1,0,0,0,8,1,Vilkpėdė,18.0,74.43213051648205,6278.950530361569,19310.0,0.2016750932025943,0.6008886165160104,0.1974362902813952,10.747060251439992,1796.7704235595652,0.1493562033409003,10,843.5806535151074,1274.0431637680229,0.1493562033409003,0.0,25.30741960545322
152,54.73645252222222,25.225051011111113,9,0.0188975499623923,0,1,0,0,2,5,1,Pašilaičiai,7.0,73.03228267466366,3864.642920378779,40384.0,0.3069339905415307,0.557894269410955,0.1351717400475143,8.082061121193773,4996.7451859650155,0.4425137670544916,9,476.2522135361859,105.07413763725772,0.4425137670544915,296.5056806373976,92.62617706391383
8,54.66195708888889,25.301007777777777,9,0.0355541498725038,0,0,0,1,7,1,0,Naujininkai,19.0,22.394291870822713,629.8643604509748,30129.0,0.2088405756911899,0.6341199633953578,0.1570394609134522,44.252349054898126,680.8452125925083,0.0,9,253.13500765097046,1048.74606242742,0.0,196.8827837285326,0.0
160,54.669575555555554,25.277593033333332,9,0.021701547361501,0,2,0,1,2,3,1,Naujamiestis,17.0,69.58345417887635,3206.382154219973,20857.0,0.255724122487824,0.6081565246599115,0.1361193528522644,4.89842788506261,4257.896714903543,0.7470964667250806,9,414.716971563336,431.89035667125313,0.22412894001752418,169.52177103268025,70.75857580417382
38,54.66771876666667,25.174064844444445,9,0.0383227248122263,0,1,0,0,4,4,0,Paneriai,20.0,18.63601686322003,486.29153992918793,8807.0,0.2650714010034735,0.6221536086453107,0.1127749903512157,78.13199109836523,112.71951317498512,0.0581114355229927,9,234.84760136702707,77.2842443003906,0.0581114355229927,104.37671171867869,26.094177929669673
121,54.71216625555556,25.229648088888887,9,0.0136760419963249,1,0,0,1,4,3,0,Viršuliškės,9.0,68.47539925864683,5006.960294290403,4014.037054284857,0.2267200686597053,0.542411672149907,0.2308682591903876,2.5272827250660392,1588.2817598810468,0.6271437258142741,9,658.085139137371,344.0163056679965,0.6578660676616939,190.2864678384439,44.434823967148084
108,54.71168235555555,25.255606333333333,9,0.0117925891214943,0,1,0,0,4,4,0,Šeškinė,5.0,110.82866760779692,9398.16239385378,31102.0,0.2077624052148463,0.5527471065584675,0.2394904882266861,4.46216580764561,6970.157842792147,0.7189901509724219,9,763.1911794158706,606.3061791057796,0.7189901509724217,261.6091426785663,53.67874015419997
147,54.72537072222222,25.221844633333333,9,0.0259455808471284,2,0,0,0,2,5,0,Pašilaičiai,7.0,63.728971333023566,2456.255333365448,40384.0,0.3069339905415307,0.557894269410955,0.1351717400475143,8.082061121193773,4996.7451859650155,0.4425137670544916,9,346.8798811261186,780.3608602158623,0.3989095681579229,155.3004292906141,6.4621294655214845
164,54.67427112222222,25.297337088888888,9,0.0360872545328719,2,0,0,1,1,4,1,Senamiestis,16.0,47.951406465870505,1328.7629410043246,10158.0,0.2599523155841341,0.6226789971822845,0.1173686872335813,4.406772086999922,2305.0885771847225,0.8726525869713228,9,249.3955308182809,543.2788682975028,0.9227789463253332,281.67406398233925,34.32875918315874
42,54.68522017777778,25.053708244444447,9,0.0127849004151087,0,3,0,0,0,6,0,Grigiškės,21.0,59.83130377218588,4679.841205605291,10486.0,0.235561323815704,0.5648465745805136,0.1995921016037823,7.009228254469938,1496.027753599385,0.0,9,703.9554245854077,5238.493458764057,0.0,0.0,234.6518081951359
46,54.601960633333334,25.179445866666665,9,0.034070702320928,0,1,0,1,1,6,0,Paneriai,20.0,20.743658371548,608.8415253713795,8807.0,0.2650714010034735,0.6221536086453107,0.1127749903512157,78.13199109836523,112.71951317498512,0.0581114355229927,9,264.1565740331608,4849.49657366767,0.0581114355229927,29.350730448128974,29.350730448128974
116,54.737779422222225,25.217622688888888,9,0.0050096153630264,0,1,0,0,5,3,0,Pašilaičiai,7.0,167.9760444505963,33530.72686784458,40384.0,0.3069339905415307,0.557894269410955,0.1351717400475143,8.082061121193773,4996.7451859650155,0.4425137670544916,9,1796.5451133084468,301.41971985649417,0.4425137670544915,456.2250565597711,106.56863636384053
34,54.7182580375,25.194630725,8,0.116712162032852,3,1,0,0,1,2,1,Justiniškės,8.0,58.68312117518966,502.80210864975334,23351.0,0.2363450932990859,0.5186220442698497,0.2450328624310644,2.90271033955168,8044.550529835689,0.2334564301239184,8,68.5446988613592,1029.3004405027277,0.23345643012391837,32.60887936965782,2.5704262073009696
90,54.702496725,25.30376055,8,0.005,0,3,0,0,2,3,0,Žirmūnai,2.0,175.6716310601564,35134.32621203128,43453.0,0.2329431132248033,0.57021675507591,0.1968401316992866,5.681409273017094,7648.278430911989,0.7461602624238627,8,1600.0,489.28148249028544,0.7461602624238627,236.74157695615702,238.3707884780785
144,54.7211171875,25.2237353625,8,0.0292909377007359,1,1,0,0,2,4,0,Justiniškės,8.0,73.39450848268189,2505.7070289981853,23351.0,0.2363450932990859,0.5186220442698497,0.2450328624310644,2.90271033955168,8044.550529835689,0.2334564301239184,8,273.12201752417815,461.4770146696252,0.345533809519598,184.24931665479582,48.6012350204775
27,54.64962025,25.19406045,8,0.0492440589193904,0,0,0,0,0,6,2,Vilkpėdė,18.0,25.451693644126212,516.848005681033,19310.0,0.2016750932025943,0.6008886165160104,0.1974362902813952,10.747060251439992,1796.7704235595652,0.1493562033409003,8,162.45614548336735,747.7272694754103,0.1493562033409003,0.0,59.050645746057505
156,54.6475684625,25.21200085,8,0.011756708991935,0,1,0,0,4,2,1,Vilkpėdė,18.0,62.70212134966826,5333.305552827867,19310.0,0.2016750932025943,0.6008886165160104,0.1974362902813952,10.747060251439992,1796.7704235595652,0.1493562033409003,8,680.4625346674762,862.6580613365849,0.1493562033409003,114.40006705532426,32.56345182443197
110,54.724766125,25.34180975,8,0.0051535312559986,0,3,0,0,0,4,0,Antakalnis,13.0,114.7519637606728,22266.666885371844,39128.0,0.2847511312217194,0.549185520361991,0.1660633484162895,77.15186977248901,507.1555636355083,0.0,7,1552.333652908027,6.923390390211994,0.0,14.426063571773518,235.49559761391095
19,54.772383625,25.2722771125,8,0.0114156071914755,0,2,0,0,3,3,0,Verkiai,1.0,55.981407692446886,4903.936054689276,50754.0,0.277248058779327,0.5928195708441178,0.129932370376555,55.92561494759497,907.5269006439888,0.0,8,700.7949613029718,136.47799016739597,0.0,262.79811048861444,175.19874032574296
10,54.6843251875,25.356723825,8,0.0590050275402652,0,4,0,0,1,3,0,Naujoji Vilnia,14.0,15.562566960993584,263.7498465766098,36502.0,0.2709707064905227,0.5830672027570362,0.1459620907524411,38.65558284421724,944.2879220604117,0.0,8,135.58166707982258,2603.425357681408,0.0,16.947708384977823,67.79083353991129
182,54.6986405125,25.2112840875,8,0.0141436769320677,0,1,0,0,1,6,0,Karoliniškės,10.0,95.52803929389124,6754.116327226216,24448.0,0.2181765219924264,0.5360159793599933,0.2458074986475802,3.7638223321865,6495.524454204919,0.8197958688104301,8,565.6237793343361,433.5082628827278,0.6753603788438612,105.39084492227983,58.88198969733905
24,54.64078078571429,25.13547218571429,7,0.005,0,1,0,0,0,6,0,Paneriai,20.0,102.42344902130188,20484.689804260375,8807.0,0.2650714010034735,0.6221536086453107,0.1127749903512157,78.13199109836523,112.71951317498512,0.0581114355229927,7,1400.0,2290.6474186408077,0.0581114355229927,0.0,200.0
161,54.70477845714286,25.235476014285716,7,0.0089741101085098,3,0,1,0,1,2,0,Viršuliškės,9.0,77.24399083326371,8607.426240515617,4014.037054284857,0.2267200686597053,0.542411672149907,0.2308682591903876,2.5272827250660392,1588.2817598810468,0.6271437258142741,7,780.0216305973527,332.3868512272426,0.6522429464089595,40.51303712601138,74.41383868167803
176,54.735063942857145,25.259990742857145,7,0.0267823110958429,1,0,0,0,1,4,1,Verkiai,1.0,24.38161093417563,910.3624719660619,50754.0,0.277248058779327,0.5928195708441178,0.129932370376555,55.92561494759497,907.5269006439888,0.0,7,261.3665405853092,571.0490472783417,0.1669425218004686,34.47277184211556,35.691306370722295
43,54.64728417142857,25.10057792857143,7,0.0280731737982353,0,2,0,0,2,3,0,Paneriai,20.0,19.678783276875706,700.9817777750775,8807.0,0.2650714010034735,0.6221536086453107,0.1127749903512157,78.13199109836523,112.71951317498512,0.0581114355229927,7,249.34836546482768,65.12398664493509,0.0581114355229927,71.2423901328079,71.2423901328079
179,54.70876704285714,25.213989199999997,7,0.0188366944720726,1,1,0,0,0,4,1,Justiniškės,8.0,80.47725751299073,4272.366238795602,23351.0,0.2363450932990859,0.5186220442698497,0.2450328624310644,2.90271033955168,8044.550529835689,0.2334564301239184,7,371.6150946960595,136.3529195250358,0.409775475894265,17.236391897130595,21.2298664003768
169,54.68761872857143,25.290832385714285,7,0.0151420983204132,0,0,5,0,1,1,0,Senamiestis,16.0,63.26069654484597,4177.802521567546,10158.0,0.2599523155841341,0.6226789971822845,0.1173686872335813,4.406772086999922,2305.0885771847225,0.8726525869713228,7,462.287316584336,329.5077238604268,0.8726525869713228,299.8123135679001,0.0
47,54.7588894,25.219123628571428,7,0.0768293042505743,0,0,0,0,3,3,1,Fabijoniškės,4.0,50.52505746808272,657.6274243392625,37001.0,0.2531130529765155,0.541589295466958,0.2052976515565265,6.020352359924375,6145.985780882897,0.3385495510819686,7,91.11106846900381,1907.9635985622854,0.3385495510819686,39.0476007724302,0.0
137,54.66873987142857,25.234424257142855,7,0.0155126516120048,0,0,0,0,1,6,0,Vilkpėdė,18.0,46.21879810382825,2979.4260362336013,19310.0,0.2016750932025943,0.6008886165160104,0.1974362902813952,10.747060251439992,1796.7704235595652,0.1493562033409003,7,451.2445824918094,13.142775183472397,0.14935620334090027,66.12006578153273,14.827204630431453
52,54.670650214285715,25.359606485714288,7,0.0281096592150912,3,1,0,0,1,2,0,Naujoji Vilnia,14.0,23.72038568565304,843.8517701032214,36502.0,0.2709707064905227,0.5830672027570362,0.1459620907524411,38.65558284421724,944.2879220604117,0.0,7,249.02471945451114,1421.1760568610064,0.0,35.57495992207302,35.57495992207302
192,54.73005918571429,25.215911057142858,7,0.0190236869755656,0,0,0,0,0,7,0,Pašilaičiai,7.0,65.24503347497522,3429.67341497877,40384.0,0.3069339905415307,0.557894269410955,0.1351717400475143,8.082061121193773,4996.7451859650155,0.4425137670544916,7,367.9623202900121,627.018892663935,0.4425137670544915,186.62967217076323,38.15137497505258
197,54.711960228571435,25.27754494285714,7,0.0166406176315917,2,0,0,0,0,5,0,Šnipiškės,3.0,71.61504005139899,4303.628725621341,14652.0,0.2250902961714423,0.6276908259089815,0.1472188779195762,3.1264068279410937,4686.53019468011,0.690080065183502,7,420.6574632609018,352.35818458364,0.690080065183502,42.66770541915292,14.222568473050972
105,54.69119991428572,25.29829895714286,7,0.005,1,0,0,0,2,1,3,Senamiestis,16.0,130.69268049616787,26138.536099233574,10158.0,0.2599523155841341,0.6226789971822845,0.1173686872335813,4.406772086999922,2305.0885771847225,0.8726525869713228,7,1400.0,646.1346901602938,0.7268555197898308,164.63084054174436,32.94657584190493
196,54.69026964285714,25.30660242857143,7,0.0076309913993258,1,0,0,0,0,4,0,Antakalnis,13.0,69.0868357205953,9053.454800997304,39128.0,0.2847511312217194,0.549185520361991,0.1660633484162895,77.15186977248901,507.1555636355083,0.0,5,917.3120022934964,929.0420611313235,0.5903104930631364,112.69741056207413,31.883029288319978
120,54.67119552857143,25.22106468571429,7,0.0058729461238113,0,0,0,0,6,0,1,Lazdynai,11.0,103.67107870656683,17652.312233249053,23932.0,0.2434296365330848,0.5691829760795278,0.1873873873873874,9.95551425327569,2403.8939015255382,0.1743439950603415,7,1191.9060472254575,149.18529171899388,0.17434399506034148,389.6982897020196,43.391326464863475
109,54.67450564285714,25.20145132857143,7,0.0066996323454808,0,2,0,0,2,3,0,Lazdynai,11.0,93.09492146532538,13895.52689829645,23932.0,0.2434296365330848,0.5691829760795278,0.1873873873873874,9.95551425327569,2403.8939015255382,0.1743439950603415,7,1044.833453394172,29.980468451547623,0.1743439950603415,175.34783078178975,111.76316300899427
57,54.63007158571429,25.12768492857143,7,0.0695890345268893,0,0,0,0,0,5,2,Paneriai,20.0,8.981440601955187,129.06402083340797,8807.0,0.2650714010034735,0.6221536086453107,0.1127749903512157,78.13199109836523,112.71951317498512,0.0581114355229927,7,100.59056067655587,1264.0399206798368,0.0581114355229927,0.0,0.0
122,54.7077175,25.243770242857146,7,0.0149420561724347,1,2,0,0,0,4,0,Šeškinė,5.0,89.63538984237825,5998.865805881441,31102.0,0.2077624052148463,0.5527471065584675,0.2394904882266861,4.46216580764561,6970.157842792147,0.7189901509724219,7,468.47635420576796,852.009896257941,0.7002376550881326,23.977605432554913,67.47123565387311
183,54.72635726666667,25.22603365,6,0.005,0,0,0,0,2,3,0,Pašilaičiai,7.0,125.0778079029912,25015.561580598238,40384.0,0.3069339905415307,0.557894269410955,0.1351717400475143,8.082061121193773,4996.7451859650155,0.4425137670544916,5,1200.0,492.7919709027466,0.41727629031031166,212.91408948848056,10.389689174907119
117,54.72785195,25.220176783333333,6,0.01331307715362,0,0,0,0,4,2,0,Pašilaičiai,7.0,71.19369275246757,5347.6511801863235,40384.0,0.3069339905415307,0.557894269410955,0.1351717400475143,8.082061121193773,4996.7451859650155,0.4425137670544916,6,450.6846862499044,777.2652775755888,0.42250912967337995,174.77322621935923,3.7564041677965627
115,54.69700153333333,25.23958805,6,0.005,0,0,0,0,0,4,2,Žvėrynas,6.0,130.49277118417763,26098.554236835524,12089.0,0.3000692520775623,0.5484764542936288,0.1514542936288088,2.6207114544034837,4612.869524299329,0.8713488905968868,6,1200.0,504.2416848540152,0.8713488905968867,169.22428053883368,100.13865871494026
193,54.66154373333333,25.265094416666667,6,0.0079649325894404,0,0,0,0,0,6,0,Naujininkai,19.0,58.36187145570994,7327.352843272503,30129.0,0.2088405756911899,0.6341199633953578,0.1570394609134522,44.252349054898126,680.8452125925083,0.0,6,753.3020440065706,502.16089439301294,0.0,119.05977746388133,21.266743429697488
113,54.707267550000005,25.235425233333338,6,0.0119805759100751,0,3,0,0,0,3,0,Viršuliškės,9.0,57.16561208703589,4771.524550749042,4014.037054284857,0.2267200686597053,0.542411672149907,0.2308682591903876,2.5272827250660392,1588.2817598810468,0.6271437258142741,6,500.81064925720995,554.4655784993959,0.659354191088636,55.18599315006395,87.2142744251595
158,54.70178126666667,25.213991683333333,6,0.005973976597189,0,0,0,0,0,6,0,Viršuliškės,9.0,93.37613925348779,15630.482934503807,4014.037054284857,0.2267200686597053,0.542411672149907,0.2308682591903876,2.5272827250660392,1588.2817598810468,0.6271437258142741,6,1004.3561273445973,50.177682878527406,0.6317831689542448,83.20149636798108,47.59647981476503
190,54.73925336666667,25.216965033333334,6,0.0059553191865243,0,0,1,0,1,4,0,Pašilaičiai,7.0,111.2351065264521,18678.277862613137,40384.0,0.3069339905415307,0.557894269410955,0.1351717400475143,8.082061121193773,4996.7451859650155,0.4425137670544916,6,1007.5026731693582,451.1784596604397,0.4425137670544916,469.0160189775143,104.98548132123028
111,54.65502185,25.227445683333332,6,0.0095742244125438,0,1,0,0,4,1,0,Vilkpėdė,18.0,58.83474631695441,6145.118787885446,19310.0,0.2016750932025943,0.6008886165160104,0.1974362902813952,10.747060251439992,1796.7704235595652,0.1493562033409003,6,626.682615893045,912.3279077280008,0.1493562033409003,291.529285076951,44.76545640266488
175,54.69895691666667,25.216124883333332,6,0.0086221486984098,0,0,0,0,0,4,2,Karoliniškės,10.0,104.89507187480262,12165.769293001016,24448.0,0.2181765219924264,0.5360159793599933,0.2458074986475802,3.7638223321865,6495.524454204919,0.8197958688104301,6,695.8822226188922,390.6056755856955,0.7531652807525179,104.53618756380773,38.67622678032163
133,54.72736278333334,25.27108195,6,0.0120356374132144,1,0,0,0,0,5,0,Verkiai,1.0,41.435549887866166,3442.7383000398836,50754.0,0.277248058779327,0.5928195708441178,0.129932370376555,55.92561494759497,907.5269006439888,0.0,6,498.5195045351203,171.8400109319873,0.0,37.55520991174698,35.54888772495698
100,54.735112333333326,25.220902183333333,6,0.005,0,1,0,0,2,3,0,Pašilaičiai,7.0,125.0778079029912,25015.561580598238,40384.0,0.3069339905415307,0.557894269410955,0.1351717400475143,8.082061121193773,4996.7451859650155,0.4425137670544916,6,1200.0,36.216613739722206,0.4425137670544915,331.9969275898675,106.66023270332255
35,54.69605526666667,25.43059906666667,6,0.0434121361028372,1,1,0,0,2,1,1,Naujoji Vilnia,14.0,15.751587726436592,362.83834753312556,36502.0,0.2709707064905227,0.5830672027570362,0.1459620907524411,38.65558284421724,944.2879220604117,0.0,6,138.2101996959295,1397.5587736013515,0.0,46.07006656530983,23.035033282654915
141,54.715917383333334,25.225034216666668,6,0.005,0,1,0,0,3,2,0,Viršuliškės,9.0,107.44511231357129,21489.022462714256,4014.037054284857,0.2267200686597053,0.542411672149907,0.2308682591903876,2.5272827250660392,1588.2817598810468,0.6271437258142741,6,1200.0,172.54390383160026,0.5113913145618718,300.7925904763256,86.77576841974846
50,54.76177993333334,25.336059233333337,6,0.0230178825224196,1,0,0,0,1,4,0,Verkiai,1.0,24.331298729968758,1057.0606877617818,50754.0,0.277248058779327,0.5928195708441178,0.129932370376555,55.92561494759497,907.5269006439888,0.0,6,260.6668964513114,1670.041084122075,0.0,43.44448274188523,0.0
56,54.75402483333334,25.41369225,6,0.0449265470343953,0,0,0,0,0,4,2,Antakalnis,13.0,12.725715546246917,283.2560342664269,39128.0,0.2847511312217194,0.549185520361991,0.1660633484162895,77.15186977248901,507.1555636355083,0.0,6,133.55132757935885,5309.418175396836,0.0,0.0,0.0
189,54.63427358333333,25.278204149999997,6,0.0179729840212095,0,0,0,0,0,5,1,Naujininkai,19.0,28.19747547054495,1568.881129436813,30129.0,0.2088405756911899,0.6341199633953578,0.1570394609134522,44.252349054898126,680.8452125925083,0.0,6,333.83438125352694,992.7887312077908,0.0,0.0,0.0
127,54.69462623333334,25.225920433333332,6,0.005,1,0,0,0,3,1,0,Karoliniškės,10.0,141.14675373338147,28229.350746676293,24448.0,0.2181765219924264,0.5360159793599933,0.2458074986475802,3.7638223321865,6495.524454204919,0.8197958688104301,5,1200.0,715.8187731129119,0.8197958688104301,415.691804867065,27.419286705049068
181,54.7371188,25.23777315,6,0.0125719237421994,1,0,0,0,2,3,0,Fabijoniškės,4.0,78.29302907506725,6227.609288804853,37001.0,0.2531130529765155,0.541589295466958,0.2052976515565265,6.020352359924375,6145.985780882897,0.3385495510819686,6,477.25392891623824,415.5732413838601,0.3606828259950722,63.204019409083756,8.035473082205481
186,54.67114551666666,25.29264781666667,6,0.005,0,0,0,0,3,3,0,Rasos,15.0,109.12997638566755,21825.99527713351,12361.0,0.259793501366535,0.5954296993622836,0.1447767992711812,16.19235341738865,763.3850176914843,1.0,6,1200.0,554.8671578527133,0.6615427172207222,239.70839662071307,24.11390084000654
180,54.68801608,25.21488084,5,0.0177417041587497,0,1,0,0,0,3,1,Karoliniškės,10.0,75.11952071708667,4234.064554618327,24448.0,0.2181765219924264,0.5360159793599933,0.2458074986475802,3.7638223321865,6495.524454204919,0.8197958688104301,5,281.82185630314115,455.9374959656251,0.7152634804744651,162.6068263036065,96.35252378229427
177,54.660494619999994,25.233784179999997,5,0.006907968192295,0,0,0,0,3,2,0,Vilkpėdė,18.0,65.81869909457117,9527.938934053567,19310.0,0.2016750932025943,0.6008886165160104,0.1974362902813952,10.747060251439992,1796.7704235595652,0.1493562033409003,5,723.8018272256802,192.45458844297957,0.14935620334090027,288.9565165797453,41.52537316979204
187,54.72179774,25.2883736,5,0.0055243513979566,0,0,0,0,2,3,0,Žirmūnai,2.0,125.6994055144839,22753.6947705714,43453.0,0.2329431132248033,0.57021675507591,0.1968401316992866,5.681409273017094,7648.278430911989,0.7461602624238627,5,905.083626984599,287.36279127949206,0.7461602624238627,149.9449199395539,4.592764966822446
194,54.66251038,25.28411776,5,0.0125245209496455,1,0,0,0,0,4,0,Naujininkai,19.0,32.89920418885264,2626.7834371568388,30129.0,0.2088405756911899,0.6341199633953578,0.1570394609134522,44.252349054898126,680.8452125925083,0.0,5,399.21686586675577,725.2465302824102,0.0,86.85809886020961,102.54603570330845
188,54.7376793,25.25125092,5,0.0092470186976244,0,1,0,0,0,1,3,Fabijoniškės,4.0,82.85657342679158,8960.35534653756,37001.0,0.2531130529765155,0.541589295466958,0.2052976515565265,6.020352359924375,6145.985780882897,0.3385495510819686,5,540.7148145255208,488.3176352868629,0.2733590642742255,33.15588737122379,50.233623120027104
178,54.71792614,25.2574935,5,0.005,0,0,0,0,1,4,0,Šeškinė,5.0,127.85785882124459,25571.571764248918,31102.0,0.2077624052148463,0.5527471065584675,0.2394904882266861,4.46216580764561,6970.157842792147,0.7189901509724219,5,1000.0,716.4374059540418,0.6207649310306282,191.34797725960496,35.799558139307656
174,54.711350679999995,25.24031102,5,0.0144374589710562,0,0,0,0,1,4,0,Šeškinė,5.0,80.85108336631818,5600.090952875163,31102.0,0.2077624052148463,0.5527471065584675,0.2394904882266861,4.46216580764561,6970.157842792147,0.7189901509724219,5,346.32133050724894,566.7546420014913,0.7051811738124631,64.09518406004003,35.53895128260268
