cluster,lat,lon,poi_count,cluster_area_km2,education,healthcare,leisure,other,religion,retail,transport,work,cluster_poi_density
97,54.67871164102564,25.302784433333333,39,0.1070988954261666,1,0,12,0,0,13,10,3,364.14941391142906
126,54.71793571578947,25.222119952631576,38,0.07697365501986676,1,1,6,1,0,18,8,3,493.67540089128244
131,54.63600619210526,25.26383054210526,38,0.3252595780122454,0,0,3,0,0,2,31,2,116.82976480578651
7,54.78055651351352,25.275948732432433,37,0.19277182962335995,0,0,5,0,0,22,6,4,191.9367579396381
104,54.692459355555556,25.303756641666666,36,0.10291183796924831,2,0,6,0,1,8,13,6,349.81398360368775
99,54.708281725,25.22362462222222,36,0.15877282106779486,1,1,4,0,0,13,16,1,226.7390587248447
33,54.64349344722222,25.203181788888887,36,0.3973825673735675,0,0,4,0,0,7,23,2,90.59280138516363
31,54.65542728571429,25.14283103142857,35,0.3612249534394535,0,0,4,0,0,16,11,4,96.89253100247545
82,54.724216005882354,25.296857129411766,34,0.15241363428277124,2,0,1,0,0,9,20,2,223.07715553137587
91,54.7311298,25.246457684848487,33,0.09794828470463925,1,0,4,1,1,15,10,1,336.91248498644694
94,54.70270079666667,25.221755606666665,30,0.18456497519551415,2,0,2,1,0,11,12,2,162.54438291024758
40,54.662249949999996,25.191785110714285,28,0.32721414970856844,2,0,0,0,0,1,24,1,85.57087162929248
6,54.625579921428574,25.109915753571432,28,0.26293723484828657,2,0,1,0,1,7,16,1,106.48929207822489
93,54.642065267999996,25.27926144,25,0.11099381134995343,0,0,4,1,0,5,11,4,225.23778304339208
74,54.66119577600001,25.274855272,25,0.0880812993631985,4,1,2,1,0,10,7,0,283.82869213717936
84,54.74430704583333,25.278428154166665,24,0.07319026957054983,4,0,3,0,0,4,13,0,327.91244165135686
128,54.72257729583333,25.215893579166664,24,0.11711039161761928,4,0,0,0,0,3,17,0,204.93484539239807
14,54.658354941666666,25.159363187500002,24,0.3654815035493489,0,0,5,0,0,7,10,2,65.66679781856435
85,54.6831779826087,25.213167352173915,23,0.0300697287305857,0,0,6,1,1,8,4,3,764.8888423993443
106,54.73490004782609,25.245138091304348,23,0.08646527409354444,1,0,2,0,0,2,17,1,266.0027420385775
49,54.76323782173913,25.28462196086957,23,0.08541750302692748,1,0,0,0,0,1,21,0,269.26565615889467
86,54.697364139130435,25.299684047826087,23,0.047969199543219494,0,1,4,1,1,8,8,0,479.47433392707256
151,54.72953152608696,25.27048352173913,23,0.05249788037208984,2,2,4,0,0,4,11,0,438.11292640736406
